,ts,vs,us
0,0.03,0.09055053181232485,0.0
1,0.05,0.08167200297840187,0.0
2,0.08,0.11843959655763653,0.0
3,0.1,0.2049912569063518,0.0
4,0.13,0.10376239016983563,0.0
5,0.15,0.06779268728823017,0.0
6,0.18,0.14765571659394908,0.0
7,0.2,0.08314150053532506,0.0
8,0.23,0.043439013114688806,0.0
9,0.25,0.10957315883842986,0.0
10,0.28,0.06766593063119306,0.0
11,0.3,0.02671594620191062,0.0
12,0.33,0.08071992898392269,0.0
13,0.35,0.054239678256734015,0.0
14,0.38,0.015687084606185512,0.0
15,0.4,0.059455239807571295,0.0
16,0.43,0.043690534564293414,0.0
17,0.45,0.0,0.0
18,0.48,0.043211944368535905,0.0
19,0.5,0.034199970488333335,0.0
20,0.53,0.0,0.0
21,0.55,0.032045858974228944,0.0
22,0.58,0.027887586873700583,0.0
23,0.6,0.0,0.0
24,0.63,0.023089100157581536,0.0
25,0.65,0.021503323572412872,0.0
26,0.68,0.0,0.0
27,0.7,0.018417997725129073,0.0
28,0.73,0.01683343897786129,0.0
29,0.75,0.0,0.0
30,0.78,0.014181408620240253,0.0
31,0.8,0.013647753715432276,0.0
32,0.83,0.0,0.0
33,0.85,0.0,0.0
34,0.88,0.011112657869201042,0.0
35,0.9,0.0,0.0
36,0.93,0.0,0.0
37,0.95,0.0,0.0
38,0.98,0.0,0.0
39,1.0,0.0,0.0
40,1.03,0.0,0.0
41,1.05,0.0,0.0
42,1.08,0.0,0.0
43,1.1,0.0,0.0
44,1.13,0.0,0.0
45,1.15,0.0,0.0
46,1.18,0.0,0.0
47,1.2,0.0,0.0
48,1.23,0.0,0.0
49,1.25,0.0,0.0
50,1.28,0.0,0.0
51,1.3,0.0,0.0
52,1.33,0.0,0.0
53,1.35,0.0,0.0
54,1.38,0.0,0.0
55,1.4,0.0,0.0
56,1.43,0.0,0.0
57,1.45,0.0,0.0
58,1.48,0.0,0.0
59,1.5,0.0,0.0
60,1.53,0.0,0.0
61,1.55,0.0,0.0
62,1.58,0.0,0.0
63,1.6,0.0,0.0
64,1.63,0.0,0.0
65,1.65,0.0,0.0
66,1.68,0.0,0.0
67,1.7,0.0,0.25
68,1.73,0.0,0.25
69,1.75,0.0,0.25
70,1.78,0.046313562684637676,0.25
71,1.8,0.0848858487625109,0.25
72,1.83,0.11231347628177317,0.25
73,1.85,0.11883406600985376,0.25
74,1.88,0.11836921108591258,0.25
75,1.9,0.1295358769546572,0.25
76,1.93,0.15640148179316277,0.25
77,1.95,0.1865578011763278,0.25
78,1.98,0.2062298927417024,0.25
79,2.0,0.2145239837169651,0.25
80,2.03,0.2220890693069723,0.25
81,2.05,0.23830854089156658,0.25
82,2.08,0.2624271670631348,0.25
83,2.1,0.2848062163381343,0.25
84,2.13,0.29967917191810794,0.25
85,2.15,0.310299217018468,0.25
86,2.18,0.3229371213926401,0.25
87,2.2,0.3413025276015996,0.25
88,2.23,0.3624103452911037,0.25
89,2.25,0.38070311315665967,0.25
90,2.28,0.3946115744362229,0.25
91,2.3,0.40745677399995833,0.25
92,2.33,0.4224981615496037,0.25
93,2.35,0.440832290436476,0.25
94,2.38,0.4597728765414034,0.25
95,2.4,0.4756699980685895,0.25
96,2.43,0.4900290481640917,0.25
97,2.45,0.5045796557162909,0.25
98,2.48,0.5201891818415605,0.25
99,2.5,0.5375303001182246,0.25
100,2.53,0.5565800268645841,0.25
101,2.55,0.5730484927702897,0.25
102,2.58,0.5873916789635092,0.25
103,2.6,0.6004982440727687,0.25
104,2.63,0.6193042340209352,0.25
105,2.65,0.6362897196620098,0.25
106,2.68,0.6524520137170026,0.25
107,2.7,0.6706541741138121,0.25
108,2.73,0.6841539694084164,0.25
109,2.75,0.6991720746427169,0.25
110,2.78,0.7152831099129634,0.25
111,2.8,0.7324910462185821,0.25
112,2.83,0.7503976676585539,0.25
113,2.85,0.7657175200493459,0.25
114,2.88,0.7797910772380408,0.25
115,2.9,0.7970105965219767,0.25
116,2.93,0.8139213650138567,0.25
117,2.95,0.8316639921159281,0.25
118,2.98,0.8476854053546222,0.25
119,3.0,0.8622357413037908,0.25
120,3.03,0.8792037617706744,0.25
121,3.05,0.8959795775999184,0.25
122,3.08,0.912231702205024,0.25
123,3.1,0.9273006058629227,0.25
124,3.13,0.943358562954906,0.25
125,3.15,0.9582168724310729,0.25
126,3.18,0.9749662561157407,0.25
127,3.2,0.9898492280774053,0.25
128,3.23,1.0078559639526035,0.25
129,3.25,1.0258389679116358,0.25
130,3.28,1.0391492767727208,0.25
131,3.3,1.0558018943855214,0.25
132,3.33,1.0714890726746922,0.25
133,3.35,1.0892225595146654,0.25
134,3.38,1.1057395864954012,0.25
135,3.4,1.1213351710705817,0.25
136,3.43,1.1389671323667379,0.25
137,3.45,1.1555335973224816,0.25
138,3.48,1.1674862129869872,0.25
139,3.5,1.1828722161215686,0.25
