,ts,vs,v0
0,0.03,0.09055053181232485,0.0
1,0.05,-0.0816805573310997,0.0
2,0.08,-0.11844161181599405,0.0
3,0.1,0.20499165962879437,0.0
4,0.13,0.10363073921610072,0.0
5,0.15,0.06782402977933676,0.0
6,0.18,-0.14750438008325858,0.0
7,0.2,-0.08302315982436766,0.0
8,0.23,0.043441250626998246,0.0
9,0.25,0.10951097472912481,0.0
10,0.28,0.06767553544300565,0.0
11,0.3,0.026917584637516576,0.0
12,0.33,0.08061562882274356,0.0
13,0.35,0.05416420577156263,0.0
14,0.38,0.0159587002437879,0.0
15,0.4,0.05951914858969244,0.0
16,0.43,0.04383534603414233,0.0
17,0.45,0.010643723075480248,0.0
18,0.48,0.04337947272509029,0.0
19,0.5,0.03437770377359867,0.0
20,0.53,0.0,0.0
21,0.55,0.03254084799982652,0.0
22,0.58,0.027134758664169967,0.0
23,0.6,0.0,0.0
24,0.63,0.02410484094663448,0.0
25,0.65,0.02142551898794525,0.0
26,0.68,0.0,0.0
27,0.7,0.016891101368176505,0.0
28,0.73,0.017460580350603015,0.0
29,0.75,0.0,0.0
30,0.78,0.012070946485598985,0.0
31,0.8,0.01265746585544228,0.0
32,0.83,0.0,0.0
33,0.85,0.010537358826949792,0.0
34,0.88,0.012434014931541556,0.0
35,0.9,0.0,0.0
36,0.93,0.0,0.0
37,0.95,0.0,0.0
38,0.98,0.0,0.0
39,1.0,0.0,0.0
40,1.03,0.0,0.0
41,1.05,0.0,0.0
42,1.08,0.0,0.0
43,1.1,0.0,0.0
44,1.13,0.0,0.0
45,1.15,0.0,0.0
46,1.18,0.0,0.0
47,1.2,0.0,0.0
48,1.23,0.0,0.0
49,1.25,0.0,0.0
50,1.28,0.0,0.0
51,1.3,0.0,0.0
52,1.33,0.0,0.0
53,1.35,0.0,0.0
54,1.38,0.0,0.0
55,1.4,0.0,0.0
56,1.43,0.0,0.0
57,1.45,0.0,0.0
58,1.48,0.0,0.0
59,1.5,0.0,0.0
60,1.53,0.010457773178205763,0.0
61,1.55,0.0,0.0
62,1.58,0.0,0.0
63,1.6,0.0,0.0
64,1.63,0.0,0.0
65,1.65,0.0,0.0
66,1.68,0.0,0.0
67,1.7,0.0,0.0
68,1.73,0.0,0.0
69,1.75,0.0,0.0
70,1.78,0.038801686397450415,0.0
71,1.8,0.06638194057256598,0.0
72,1.83,0.08736039771294446,0.0
73,1.85,0.09402895524352184,0.0
74,1.88,0.09492642849617826,0.0
75,1.9,0.10275427985348004,0.0
76,1.93,0.12170510220110894,0.0
77,1.95,0.1438166574759767,0.0
78,1.98,0.15951682102365422,0.0
79,2.0,0.16728004034886018,0.0
80,2.03,0.17321028345126235,0.0
81,2.05,0.1854801334321046,0.0
82,2.08,0.20279570039492187,0.0
83,2.1,0.22062582394795927,0.0
84,2.13,0.233991144547732,0.0
85,2.15,0.24289033610837113,0.0
86,2.18,0.2516691495677461,0.0
87,2.2,0.26477814649022957,0.0
88,2.23,0.2809874082676447,0.0
89,2.25,0.29535808236562167,0.0
90,2.28,0.30717510616410987,0.0
91,2.3,0.3170175225662891,0.0
92,2.33,0.328266699610895,0.0
93,2.35,0.34114618389941725,0.0
94,2.38,0.35553542636451996,0.0
95,2.4,0.36844288546092,0.0
96,2.43,0.37937950042590846,0.0
97,2.45,0.3902639877198985,0.0
98,2.48,0.4021521447801901,0.0
99,2.5,0.4162170164048328,0.0
100,2.53,0.42973685738661893,0.0
101,2.55,0.4412336651998515,0.0
102,2.58,0.45326552900539485,0.0
103,2.6,0.46414105250838916,0.0
104,2.63,0.47640694694332186,0.0
105,2.65,0.48912113713038324,0.0
106,2.68,0.5017383269046003,0.0
107,2.7,0.5153918386467746,0.0
108,2.73,0.5286214232834536,0.0
109,2.75,0.5392748248849575,0.0
110,2.78,0.5499395950471179,0.0
111,2.8,0.5626042678347073,0.0
112,2.83,0.5764276759820741,0.0
113,2.85,0.5884365364830226,0.0
114,2.88,0.6004301100151961,0.0
115,2.9,0.6135839098113616,0.0
116,2.93,0.6248265135062884,0.0
117,2.95,0.6367139961036233,0.0
118,2.98,0.6487556784988736,0.0
119,3.0,0.6606275727682986,0.0
120,3.03,0.6735885491238085,0.0
121,3.05,0.6875955151926776,0.0
122,3.08,0.6992661252804911,0.0
123,3.1,0.7107155042492888,0.0
124,3.13,0.7213245184331808,0.0
125,3.15,0.7335543638619506,0.0
126,3.18,0.7474736500709181,0.0
127,3.2,0.7612504702701884,0.0
128,3.23,0.7719617682391816,0.0
129,3.25,0.7842859666271862,0.0
130,3.28,0.7948321788845606,0.0
131,3.3,0.8082319612277128,0.0
132,3.33,0.8229430159683648,0.0
133,3.35,0.8345809497547126,0.0
134,3.38,0.8449253024770988,0.0
135,3.4,0.8561443670600382,0.0
136,3.43,0.8699407130845969,0.0
137,3.45,0.882671332647819,0.0
138,3.48,0.894937622917573,0.0
139,3.5,0.9081917526549139,0.0
140,3.53,0.9189862888362897,0.0
141,3.55,0.9300213123337735,0.0
142,3.58,0.9406362753830332,0.0
143,3.6,0.9579809994225397,0.0
144,3.63,0.9698655376108786,0.0
145,3.65,0.9824372495659011,0.0
146,3.68,0.9923839351661659,0.0
147,3.7,1.002047135169398,0.0
148,3.73,1.019428371817353,0.0
149,3.75,1.0310951472715806,0.0
150,3.78,1.0469200951348463,0.0
151,3.8,1.0556973569509946,0.0
152,3.83,1.0664677558814042,0.0
153,3.85,1.0755182540826669,0.0
154,3.88,1.0900734004223191,0.0
155,3.9,1.1028694117331777,0.0
156,3.93,1.117066791852197,0.0
157,3.95,1.1268139833384796,0.0
158,3.98,1.1385504769898105,0.0
159,4.0,1.151262608471497,0.0
160,4.03,1.1630643671629157,0.0
161,4.05,1.1769197817255286,0.0
162,4.08,1.1942106848711433,0.0
163,4.1,1.2000838384740633,0.0
164,4.13,1.2124250680967952,0.0
165,4.15,1.2222926277011938,0.0
166,4.18,1.2359855203264396,0.0
167,4.2,1.2521847289323687,0.0
168,4.23,1.266667847830213,0.0
169,4.25,1.2746968531765535,0.0
170,4.28,1.2824244109461183,0.0
171,4.3,1.2922121985732167,0.0
172,4.33,1.3081039068759148,0.0
173,4.35,1.3255684431356936,0.0
174,4.38,1.3336308083244515,0.0
175,4.4,1.34456516960044,0.0
176,4.43,1.353479072622902,0.0
177,4.45,1.3617814087156634,0.0
178,4.48,1.3784251547609487,0.0
179,4.5,1.3935947978695242,0.0
180,4.53,1.4058262697341164,0.0
181,4.55,1.4143244135278001,0.0
182,4.58,1.4258612121036442,0.0
183,4.6,1.4408179592416268,0.0
184,4.63,1.450790145668896,0.0
185,4.65,1.4642775582837073,0.0
186,4.68,1.4748218977150227,0.0
187,4.7,1.4888649022310725,0.0
188,4.73,1.5019034784412257,0.0
189,4.75,1.5150469073908714,0.0
190,4.78,1.5273329259537545,0.0
191,4.8,1.5372596849024123,0.0
192,4.83,1.545289596072401,0.0
193,4.85,1.558278566386954,0.0
194,4.88,1.568181639708465,0.0
195,4.9,1.5821822498763538,0.0
196,4.93,1.5972425193706736,0.0
197,4.95,1.6079638524413724,0.0
198,4.98,1.6216502622998192,0.0
199,5.0,1.6319479761929376,0.0
200,5.03,1.6484847391937107,0.0
201,5.05,1.6573241437114774,0.0
202,5.08,1.6702903712460646,0.0
203,5.1,1.6809245746691421,0.0
204,5.13,1.6898732862813344,0.0
205,5.15,1.703484918376001,0.0
206,5.18,1.709401884343173,0.0
207,5.2,1.7247350791574068,0.0
208,5.23,1.7422265312252916,0.0
209,5.25,1.7524387339071936,0.0
210,5.28,1.7625824211528123,0.0
211,5.3,1.7758717004613798,0.0
212,5.33,1.7885601019598352,0.0
213,5.35,1.8033765975132967,0.0
214,5.38,1.8137605779406623,0.0
215,5.4,1.824701219868252,0.0
216,5.43,1.8342950732131902,0.0
217,5.45,1.8439107979975633,0.0
218,5.48,1.8588494808143083,0.0
219,5.5,1.8721380229079774,0.0
220,5.53,1.882818022765513,0.0
221,5.55,1.891054573101144,0.0
222,5.58,1.906006297800841,0.0
223,5.6,1.9192120578311453,0.0
224,5.63,1.9306388039562765,0.0
225,5.65,1.9448040819750219,0.0
226,5.68,1.9555106268159062,0.0
227,5.7,1.967690313806869,0.0
228,5.73,1.9760398160749733,0.0
229,5.75,1.9887594839325855,0.0
230,5.78,2.0015963446957983,0.0
231,5.8,2.013277693159921,0.0
232,5.83,2.0258669884217877,0.0
233,5.85,2.040484276624162,0.0
234,5.88,2.051257669876771,0.0
235,5.9,2.061732521601695,0.0
236,5.93,2.071772910515075,0.0
237,5.95,2.0841759602697136,0.0
238,5.98,2.097343213134707,0.0
239,6.0,2.107687643358371,0.0
240,6.03,2.1205230144033935,0.0
241,6.05,2.1350221710543913,0.0
242,6.08,2.145172979148172,0.0
243,6.1,2.157316138664818,0.0
244,6.13,2.1682769430426947,0.0
245,6.15,2.1802841503417048,0.0
246,6.18,2.1949831504238393,0.0
247,6.2,2.2066315250154642,0.0
248,6.23,2.2156863598974708,0.0
249,6.25,2.229429068328513,0.0
250,6.28,2.239461636324796,0.0
251,6.3,2.2512596302113552,0.0
252,6.33,2.263298257829591,0.0
253,6.35,2.275473894178637,0.0
254,6.38,2.288435785892802,0.0
255,6.4,2.3001899058674593,0.0
256,6.43,2.310625564689749,0.0
257,6.45,2.3194595318521576,0.0
258,6.48,2.3333570002714765,0.0
259,6.5,2.3441845772223315,0.0
260,6.53,2.355406546369809,0.0
261,6.55,2.368871042771814,0.0
262,6.58,2.3810472667248956,0.0
263,6.6,2.392215773110245,0.0
264,6.63,2.4030400108332644,0.0
265,6.65,2.4136926318013323,0.0
266,6.68,2.4270396622564974,0.0
267,6.7,2.4402431789541144,0.0
268,6.73,2.4521664051301433,0.0
269,6.75,2.462105141886928,0.0
270,6.78,2.473259323178964,0.0
271,6.8,2.4828778008360115,0.0
272,6.83,2.498646651561836,0.0
273,6.85,2.512189946897039,0.0
274,6.88,2.520785891976162,0.0
275,6.9,2.5291620360782305,0.0
276,6.93,2.5390472746714727,0.0
277,6.95,2.5528160952140446,0.0
278,6.98,2.565490947222375,0.0
279,7.0,2.5801555804006906,0.0
280,7.03,2.5924871823094358,0.0
281,7.05,2.6018328732369493,0.0
282,7.08,2.610971349758797,0.0
283,7.1,2.625021968332515,0.0
284,7.13,2.6377915636178595,0.0
285,7.15,2.651174012762805,0.0
286,7.18,2.6597641663045613,0.0
287,7.2,2.670546959992471,0.0
288,7.23,2.681898977060537,0.0
289,7.25,2.6942712724841913,0.0
290,7.28,2.7039424450566374,0.0
291,7.3,2.7157707817468313,0.0
292,7.33,2.7293099271950667,0.0
293,7.35,2.740484513627469,0.0
294,7.38,2.751408266271859,0.0
295,7.4,2.76263237339362,0.0
296,7.43,2.773405641607402,0.0
297,7.45,2.7871076489716295,0.0
298,7.48,2.7990643944280422,0.0
299,7.5,2.810126849093049,0.0
300,7.53,2.821369249427575,0.0
301,7.55,2.833206773972745,0.0
302,7.58,2.842718426832823,0.0
303,7.6,2.8531076171554814,0.0
304,7.63,2.8654593159126933,0.0
305,7.65,2.8788652011983102,0.0
306,7.68,2.8911053699182707,0.0
307,7.7,2.905261244177212,0.0
308,7.73,2.913255378290916,0.0
309,7.75,2.9227035561231083,0.0
310,7.78,2.9341155230922142,0.0
311,7.8,2.9441055941848187,0.0
312,7.83,2.9564665256946734,0.0
313,7.85,2.970419933296967,0.0
314,7.88,2.9831592348944422,0.0
315,7.9,2.9957179049389935,0.0
316,7.93,3.0066914585668827,0.0
317,7.95,3.0128082970724344,0.0
318,7.98,3.0225439406457357,0.0
319,8.0,3.0347343823325534,0.0
320,8.03,3.0475538517856964,0.0
321,8.05,3.0619705669630872,0.0
322,8.08,3.071260020551186,0.0
323,8.1,3.0788849302256414,0.0
324,8.13,3.0880304375977636,0.0
325,8.15,3.0965796895786144,0.0
326,8.18,3.110603071262303,0.0
327,8.2,3.127170713483097,0.0
328,8.23,3.137889033555265,0.0
329,8.25,3.144740074313497,0.0
330,8.28,3.154116265230107,0.0
331,8.3,3.16728014905329,0.0
332,8.33,3.180928725579797,0.0
333,8.35,3.190776702202327,0.0
334,8.38,3.2014640809624937,0.0
335,8.4,3.2142227958048655,0.0
336,8.43,3.2241916690808714,0.0
337,8.45,3.2396959065053985,0.0
338,8.48,3.252892897218295,0.0
339,8.5,3.2601272511996853,0.0
340,8.53,3.267472959211089,0.0
341,8.55,3.2752346893728896,0.0
342,8.58,3.2881654702348566,0.0
343,8.6,3.3006153401093177,0.0
344,8.63,3.316364429877747,0.0
345,8.65,3.3298722238607086,0.0
346,8.68,3.3394879258469126,0.0
347,8.7,3.3486837995340806,0.0
348,8.73,3.3601155080888714,0.0
349,8.75,3.3717487371003525,0.0
350,8.78,3.3847617083206663,0.0
351,8.8,3.397926943391371,0.0
352,8.83,3.4062767888905885,0.0
353,8.85,3.4144941767611794,0.0
354,8.88,3.424486279984582,0.0
355,8.9,3.4366514525425234,0.0
356,8.93,3.4465750258357124,0.0
357,8.95,3.456550958607381,0.0
358,8.98,3.469010717982629,0.0
359,9.0,3.483873329116806,0.0
360,9.03,3.4944743526119075,0.0
361,9.05,3.503719425119425,0.0
362,9.08,3.513776096852319,0.0
363,9.1,3.524919956828952,0.0
364,9.13,3.5353186227518267,0.0
365,9.15,3.547011902241217,0.0
366,9.18,3.56116659335321,0.0
367,9.2,3.5716832467727375,0.0
368,9.23,3.5795292899395568,0.0
369,9.25,3.5909435205436315,0.0
370,9.28,3.5956665113614323,0.0
371,9.3,3.606071872394868,0.0
372,9.33,3.617629323751063,0.0
373,9.35,3.6321391238502874,0.0
374,9.38,3.6437632830418756,0.0
375,9.4,3.6503341821040043,0.0
376,9.43,3.6594667789797803,0.0
377,9.45,3.6736453094421355,0.0
378,9.48,3.6892547752083584,0.0
379,9.5,3.700030068153688,0.0
380,9.53,3.7085836653712083,0.0
381,9.55,3.7177029438657674,0.0
382,9.58,3.7297517776730658,0.0
383,9.6,3.7371540395016134,0.0
384,9.63,3.750069425044821,0.0
385,9.65,3.7606234246218193,0.0
386,9.68,3.7713652411192884,0.0
387,9.7,3.7803276691931025,0.0
388,9.73,3.794515960801389,0.0
389,9.75,3.8029273681148097,0.0
