,ts,x,y,erros,psierros,vel,steers
0,0.05,-0.0002,-3.0003,0.0002,0.1909,-0.0858,0.3491
1,0.1,-0.0001,-3.0005,0.0001,0.0374,-0.1439,0.3491
2,0.15,-0.0001,-2.9975,0.0001,0.0199,0.0619,0.0203
3,0.2,-0.0001,-2.9931,0.0001,-0.0209,0.1171,-0.0206
4,0.25,0.0,-2.9865,-0.0,-0.0258,0.1395,-0.0259
5,0.3,0.0001,-2.9784,-0.0001,-0.0107,0.1637,-0.0109
6,0.35,0.0002,-2.9686,-0.0002,0.0094,0.2007,0.0093
7,0.4,0.0001,-2.9568,-0.0001,0.0058,0.2362,0.0057
8,0.45,0.0001,-2.9434,-0.0001,-0.0112,0.2682,-0.0112
9,0.5,0.0003,-2.9286,-0.0003,0.0087,0.299,0.0086
10,0.55,0.0003,-2.9119,-0.0003,0.0026,0.333,0.0024
11,0.6,0.0003,-2.8936,-0.0003,-0.0019,0.3657,-0.0021
12,0.65,0.0005,-2.8738,-0.0005,0.0162,0.3967,0.0159
13,0.7,0.0006,-2.8523,-0.0006,-0.0094,0.4305,-0.0096
14,0.75,0.0007,-2.8291,-0.0007,-0.0193,0.463,-0.0196
15,0.8,0.0009,-2.8044,-0.0009,0.0067,0.4947,0.0064
16,0.85,0.0007,-2.7782,-0.0007,-0.0095,0.5247,-0.0097
17,0.9,0.0006,-2.7508,-0.0006,0.0105,0.5473,0.0103
18,0.95,0.0006,-2.7226,-0.0006,0.0127,0.5637,0.0125
19,1.0,0.0008,-2.6935,-0.0008,-0.025,0.5818,-0.0252
20,1.05,0.0011,-2.6638,-0.0011,-0.0375,0.5941,-0.0379
21,1.1,0.0019,-2.6338,-0.0019,-0.0244,0.6012,-0.025
22,1.15,0.0023,-2.6032,-0.0023,-0.0162,0.6113,-0.017
23,1.2,0.0021,-2.5722,-0.0021,-0.0203,0.621,-0.021
24,1.25,0.0018,-2.5409,-0.0018,0.0062,0.6265,0.0056
25,1.3,0.0015,-2.5093,-0.0015,-0.0137,0.6303,-0.0141
26,1.35,0.0014,-2.4776,-0.0014,-0.0041,0.6355,-0.0045
27,1.4,0.0012,-2.4456,-0.0012,-0.0309,0.6388,-0.0313
